coarse_neq,fine_neq,coarse_iters,fine_iters,rom_time_ms,fom_time_ms,speedup_vs_fom,rel_l2_median,rel_l2_p90,rel_l2_max,frac_le_1e-2,frac_le_5e-3,iters_c_med,iters_f_med
1000,1000,20,5,118.10,273.98,2.320,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
1000,1000,20,10,119.53,273.98,2.292,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
1000,1000,20,20,119.11,273.98,2.300,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
1000,1000,30,3,141.71,273.98,1.933,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
1000,1000,30,5,145.05,273.98,1.889,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
1000,1000,30,10,145.61,273.98,1.882,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
1000,1000,30,20,146.20,273.98,1.874,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
1000,2000,10,3,97.24,273.98,2.817,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
1000,2000,10,5,105.94,273.98,2.586,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
1000,2000,10,10,110.98,273.98,2.469,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
1000,2000,10,20,109.99,273.98,2.491,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
1000,2000,20,3,124.56,273.98,2.200,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
1000,2000,20,5,133.56,273.98,2.051,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
1000,2000,20,10,136.02,273.98,2.014,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
1000,2000,20,20,136.82,273.98,2.002,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
1000,2000,30,3,150.58,273.98,1.820,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
1000,2000,30,5,160.54,273.98,1.707,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
1000,2000,30,10,160.91,273.98,1.703,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
1000,2000,30,20,161.14,273.98,1.700,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
1000,4000,10,3,112.01,273.98,2.446,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
1000,4000,10,5,137.44,273.98,1.993,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
1000,4000,10,10,139.83,273.98,1.959,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
1000,4000,10,20,140.00,273.98,1.957,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
1000,4000,20,3,139.75,273.98,1.960,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
1000,4000,20,5,158.01,273.98,1.734,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
1000,4000,20,10,158.52,273.98,1.728,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
1000,4000,20,20,159.32,273.98,1.720,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
1000,4000,30,3,167.30,273.98,1.638,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
1000,4000,30,5,184.81,273.98,1.483,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
1000,4000,30,10,185.78,273.98,1.475,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
1000,4000,30,20,185.52,273.98,1.477,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
1000,8000,10,3,144.86,273.98,1.891,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
