jax_backend=gpu

### k=12 src=9  ceiling 2.973e-03  ROM 1.962e-01  obj0 4.3163e-02 -> 9.1232e-03 (red 2.11e-01)  obj@ceil 1.0176e-04  iters 60 acc 38 reason 0  |z0-zceil| 0.314 |zfin-zceil| 3.552
   it   lam       ||r||       ||r_new||   acc  ||dz||    ||z||   cond(J)   ||g||
     4 1.11e-05 1.4048e-02 7.3451e-03 A  7.952e-01 1.424 5.227e+01 1.178e-03
     5 3.70e-06 7.3451e-03 7.1751e-03 A  8.728e-01 1.668 3.874e+01 2.953e-04
     6 1.23e-06 7.1751e-03 1.8158e-03 A  5.765e-01 1.726 7.954e+01 4.640e-04
     7 4.12e-07 1.8158e-03 7.6525e-04 A  3.340e-01 1.253 9.129e+01 5.303e-05
     8 1.37e-07 7.6525e-04 6.1394e-04 A  3.541e-01 1.026 1.046e+02 2.641e-05
     9 4.57e-08 6.1394e-04 2.3125e-04 A  2.388e-01 0.755 1.434e+02 3.516e-05
    10 1.52e-08 2.3125e-04 1.6410e-04 A  1.322e-01 0.592 1.859e+02 9.036e-06
    11 5.08e-09 1.6410e-04 2.7412e-04 .  1.780e-01 0.493 2.667e+02 6.930e-06
    12 5.08e-08 1.6410e-04 2.7388e-04 .  1.779e-01 0.493 2.667e+02 6.930e-06
    13 5.08e-07 1.6410e-04 2.7153e-04 .  1.769e-01 0.493 2.667e+02 6.930e-06
    14 5.08e-06 1.6410e-04 2.5054e-04 .  1.681e-01 0.493 2.667e+02 6.930e-06
    15 5.08e-05 1.6410e-04 1.5772e-04 A  1.191e-01 0.493 2.667e+02 6.930e-06
    16 1.69e-05 1.5772e-04 2.0956e-04 .  1.591e-01 0.425 3.285e+02 8.888e-06
    17 1.69e-04 1.5772e-04 9.8307e-05 A  6.347e-02 0.425 3.285e+02 8.888e-06
    18 5.65e-05 9.8307e-05 1.0634e-04 .  9.814e-02 0.394 3.556e+02 2.241e-06
    19 5.65e-04 9.8307e-05 9.0389e-05 A  2.072e-02 0.394 3.556e+02 2.241e-06
    20 1.88e-04 9.0389e-05 8.4721e-05 A  4.458e-02 0.388 3.646e+02 2.337e-07
    21 6.27e-05 8.4721e-05 8.1325e-05 A  6.428e-02 0.379 3.888e+02 1.102e-06
